"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-07","Canada","2016A000011124","Total, all occupations","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496319","1.1.17.1","991680","A","","","0"
"2022-10","Canada","2016A000011124","Total, all occupations","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496319","1.1.17.1","855890","A","","","0"
"2023-01","Canada","2016A000011124","Total, all occupations","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496319","1.1.17.1","781205","A","","","0"
"2023-04","Canada","2016A000011124","Total, all occupations","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496319","1.1.17.1","818195","A","","","0"
"2023-07","Canada","2016A000011124","Total, all occupations","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496319","1.1.17.1","737530","A","","","0"
"2022-07","Canada","2016A000011124","Total, all occupations","Less than 1 year","Job vacancies","Number","223","units","0","v104496322","1.1.18.1","540140","A","","","0"
"2022-10","Canada","2016A000011124","Total, all occupations","Less than 1 year","Job vacancies","Number","223","units","0","v104496322","1.1.18.1","453285","A","","","0"
"2023-01","Canada","2016A000011124","Total, all occupations","Less than 1 year","Job vacancies","Number","223","units","0","v104496322","1.1.18.1","389720","A","","","0"
"2023-04","Canada","2016A000011124","Total, all occupations","Less than 1 year","Job vacancies","Number","223","units","0","v104496322","1.1.18.1","428610","A","","","0"
"2023-07","Canada","2016A000011124","Total, all occupations","Less than 1 year","Job vacancies","Number","223","units","0","v104496322","1.1.18.1","376980","A","","","0"
"2022-07","Canada","2016A000011124","Total, all occupations","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496325","1.1.19.1","284135","A","","","0"
"2022-10","Canada","2016A000011124","Total, all occupations","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496325","1.1.19.1","249345","A","","","0"
"2023-01","Canada","2016A000011124","Total, all occupations","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496325","1.1.19.1","246105","A","","","0"
"2023-04","Canada","2016A000011124","Total, all occupations","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496325","1.1.19.1","246745","A","","","0"
"2023-07","Canada","2016A000011124","Total, all occupations","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496325","1.1.19.1","228190","A","","","0"
"2022-07","Canada","2016A000011124","Total, all occupations","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496328","1.1.20.1","85985","A","","","0"
"2022-10","Canada","2016A000011124","Total, all occupations","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496328","1.1.20.1","77450","A","","","0"
"2023-01","Canada","2016A000011124","Total, all occupations","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496328","1.1.20.1","77730","A","","","0"
"2023-04","Canada","2016A000011124","Total, all occupations","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496328","1.1.20.1","74765","A","","","0"
"2023-07","Canada","2016A000011124","Total, all occupations","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496328","1.1.20.1","70055","A","","","0"
"2022-07","Canada","2016A000011124","Total, all occupations","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496331","1.1.21.1","67100","A","","","0"
"2022-10","Canada","2016A000011124","Total, all occupations","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496331","1.1.21.1","61320","A","","","0"
"2023-01","Canada","2016A000011124","Total, all occupations","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496331","1.1.21.1","55360","A","","","0"
"2023-04","Canada","2016A000011124","Total, all occupations","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496331","1.1.21.1","55685","A","","","0"
"2023-07","Canada","2016A000011124","Total, all occupations","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496331","1.1.21.1","50740","A","","","0"
"2022-07","Canada","2016A000011124","Total, all occupations","8 years or more","Job vacancies","Number","223","units","0","v104496334","1.1.22.1","14315","A","","","0"
"2022-10","Canada","2016A000011124","Total, all occupations","8 years or more","Job vacancies","Number","223","units","0","v104496334","1.1.22.1","14490","A","","","0"
"2023-01","Canada","2016A000011124","Total, all occupations","8 years or more","Job vacancies","Number","223","units","0","v104496334","1.1.22.1","12285","A","","","0"
"2023-04","Canada","2016A000011124","Total, all occupations","8 years or more","Job vacancies","Number","223","units","0","v104496334","1.1.22.1","12390","A","","","0"
"2023-07","Canada","2016A000011124","Total, all occupations","8 years or more","Job vacancies","Number","223","units","0","v104496334","1.1.22.1","11570","A","","","0"
"2022-07","Canada","2016A000011124","Management occupations [0]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496451","1.2.17.1","44580","A","","","0"
"2022-10","Canada","2016A000011124","Management occupations [0]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496451","1.2.17.1","41025","A","","","0"
"2023-01","Canada","2016A000011124","Management occupations [0]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496451","1.2.17.1","39585","A","","","0"
"2023-04","Canada","2016A000011124","Management occupations [0]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496451","1.2.17.1","37965","A","","","0"
"2023-07","Canada","2016A000011124","Management occupations [0]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104496451","1.2.17.1","35185","A","","","0"
"2022-07","Canada","2016A000011124","Management occupations [0]","Less than 1 year","Job vacancies","Number","223","units","0","v104496454","1.2.18.1","6690","B","","","0"
"2022-10","Canada","2016A000011124","Management occupations [0]","Less than 1 year","Job vacancies","Number","223","units","0","v104496454","1.2.18.1","6125","B","","","0"
"2023-01","Canada","2016A000011124","Management occupations [0]","Less than 1 year","Job vacancies","Number","223","units","0","v104496454","1.2.18.1","4165","B","","","0"
"2023-04","Canada","2016A000011124","Management occupations [0]","Less than 1 year","Job vacancies","Number","223","units","0","v104496454","1.2.18.1","4955","B","","","0"
"2023-07","Canada","2016A000011124","Management occupations [0]","Less than 1 year","Job vacancies","Number","223","units","0","v104496454","1.2.18.1","3675","B","","","0"
"2022-07","Canada","2016A000011124","Management occupations [0]","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496457","1.2.19.1","11200","A","","","0"
"2022-10","Canada","2016A000011124","Management occupations [0]","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496457","1.2.19.1","10195","B","","","0"
"2023-01","Canada","2016A000011124","Management occupations [0]","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496457","1.2.19.1","9950","A","","","0"
"2023-04","Canada","2016A000011124","Management occupations [0]","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496457","1.2.19.1","8965","B","","","0"
"2023-07","Canada","2016A000011124","Management occupations [0]","1 year to less than 3 years","Job vacancies","Number","223","units","0","v104496457","1.2.19.1","8915","B","","","0"
"2022-07","Canada","2016A000011124","Management occupations [0]","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496460","1.2.20.1","7285","A","","","0"
"2022-10","Canada","2016A000011124","Management occupations [0]","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496460","1.2.20.1","7075","A","","","0"
"2023-01","Canada","2016A000011124","Management occupations [0]","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496460","1.2.20.1","7585","A","","","0"
"2023-04","Canada","2016A000011124","Management occupations [0]","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496460","1.2.20.1","6585","B","","","0"
"2023-07","Canada","2016A000011124","Management occupations [0]","3 years to less than 5 years","Job vacancies","Number","223","units","0","v104496460","1.2.20.1","6505","A","","","0"
"2022-07","Canada","2016A000011124","Management occupations [0]","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496463","1.2.21.1","13245","A","","","0"
"2022-10","Canada","2016A000011124","Management occupations [0]","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496463","1.2.21.1","11965","A","","","0"
"2023-01","Canada","2016A000011124","Management occupations [0]","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496463","1.2.21.1","12600","A","","","0"
"2023-04","Canada","2016A000011124","Management occupations [0]","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496463","1.2.21.1","11730","A","","","0"
"2023-07","Canada","2016A000011124","Management occupations [0]","5 years to less than 8 years","Job vacancies","Number","223","units","0","v104496463","1.2.21.1","11170","A","","","0"
"2022-07","Canada","2016A000011124","Management occupations [0]","8 years or more","Job vacancies","Number","223","units","0","v104496466","1.2.22.1","6160","A","","","0"
"2022-10","Canada","2016A000011124","Management occupations [0]","8 years or more","Job vacancies","Number","223","units","0","v104496466","1.2.22.1","5660","B","","","0"
"2023-01","Canada","2016A000011124","Management occupations [0]","8 years or more","Job vacancies","Number","223","units","0","v104496466","1.2.22.1","5290","A","","","0"
"2023-04","Canada","2016A000011124","Management occupations [0]","8 years or more","Job vacancies","Number","223","units","0","v104496466","1.2.22.1","5730","A","","","0"
"2023-07","Canada","2016A000011124","Management occupations [0]","8 years or more","Job vacancies","Number","223","units","0","v104496466","1.2.22.1","4920","A","","","0"
"2022-07","Canada","2016A000011124","Business, finance and administration occupations [1]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104505955","1.3.17.1","104840","A","","","0"
"2022-10","Canada","2016A000011124","Business, finance and administration occupations [1]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104505955","1.3.17.1","96835","A","","","0"
"2023-01","Canada","2016A000011124","Business, finance and administration occupations [1]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104505955","1.3.17.1","88535","A","","","0"
"2023-04","Canada","2016A000011124","Business, finance and administration occupations [1]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104505955","1.3.17.1","88210","A","","","0"
"2023-07","Canada","2016A000011124","Business, finance and administration occupations [1]","Minimum experience level sought, all levels","Job vacancies","Number","223","units","0","v104505955","1.3.17.1","78910","A","","","0"
"2022-07","Canada","2016A000011124","Business, finance and administration occupations [1]","Less than 1 year","Job vacancies","Number","223","units","0","v104505958","1.3.18.1","41575","B","","","0"
"2022-10","Canada","2016A000011124","Business, finance and administration occupations [1]","Less than 1 year","Job vacancies","Number","223","units","0","v104505958","1.3.18.1","37535","B","","","0"
